timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2023-09-11T17:19:22,runwayml/stable-diffusion-v1-5,024c2b04-7ecb-40d6-81e8-11ac5142c07a,4085.34313011169,0.184481101343284,4.51568192604278E-05,42.5,551.082978622034,430.77675,0.0484333705610699,0.79046816904075,0.490693673480554,1.32959521308237,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N,1
2023-09-11T19:50:56,stabilityai/stable-diffusion-2-1,c11ce9fc-e55e-438c-b4da-4392afeb9501,9072.65853333473,0.415748546380709,4.58243352654756E-05,42.5,533.65458706332,430.77675,0.107248258510729,1.80231076434741,1.08683070535111,2.99638972820925,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N,1
2023-09-12T05:14:29,stabilityai/stable-diffusion-xl-base-1.0,603205ad-59e1-4df7-bb49-d76d69854897,33778.5567948818,1.54298129452568,4.56793137698374E-05,42.5,502.984389219492,430.77675,0.399086005999645,6.67663726713892,4.04487676740144,11.12060004054,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N,1
2023-09-12T06:23:01,SG161222/Realistic_Vision_V1.4,7bddfa08-6e14-456f-8f6a-cd5025d91ed5,4086.19511270523,0.183870932225666,4.49980794245374E-05,42.5,507.545811701038,430.77675,0.0484459683656692,0.785995520184827,0.490756103680485,1.32519759223098,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N,1
2023-09-12T07:31:23,CompVis/stable-diffusion-v1-4,356acaf1-fb40-4390-a704-2cf42f858f9a,4079.71088647842,0.183935674323015,4.50854679268184E-05,42.5,557.064381507251,430.77675,0.0483188245225283,0.787863992235089,0.489481385777036,1.32566420253465,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N,1
2023-09-12T08:35:25,stabilityai/stable-diffusion-2-1-base,d14aa1d7-d9de-497d-941a-33c33edfc4ac,3820.66542744637,0.1717428962942,4.49510430985287E-05,42.5,536.064029290609,430.77675,0.0452472949920429,0.734157220936325,0.458383697232599,1.23778821316097,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N,1
2023-09-12T09:44:44,runwayml/stable-diffusion-v1-5,c5703308-7cf9-4468-b40b-485449538927,4082.62017393112,0.18281780652636,4.47795285228128E-05,42.5,556.183051211375,430.77675,0.0483814249755607,0.778943967599091,0.490282094879328,1.31760748745398,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N,1
2023-09-12T12:16:20,stabilityai/stable-diffusion-2-1,b1b0ec11-f477-4a89-b0ab-a3b5d2950903,9075.223944664,0.41035885293135,4.5217490547176E-05,42.5,494.453235843169,430.77675,0.107278869406382,1.76303893654114,1.08722723541809,2.95754504136561,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N,1
2023-09-12T21:39:56,stabilityai/stable-diffusion-xl-base-1.0,df2a8746-f43f-438b-97ed-c59219db1aa2,33781.9199380875,1.53595332533376,4.54667268215874E-05,42.5,557.663916571568,430.77675,0.399117114868429,6.62555796794217,4.04527286313963,11.0699479459502,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N,1
2023-09-12T22:48:31,SG161222/Realistic_Vision_V1.4,a9b9521d-7677-48ce-b3a3-ecfcb745515d,4081.65827345848,0.185367668998951,4.54147938362034E-05,42.5,509.551121882827,430.77675,0.0484738089819749,0.796438944095002,0.491072144924152,1.33598489800113,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N,1
2023-09-12T23:56:54,CompVis/stable-diffusion-v1-4,4c5cedd3-be73-4971-a239-e3412145de1d,4081.34383797646,0.183965307065536,4.50746897023866E-05,42.5,500.825742179929,430.77675,0.048338767881857,0.787818272198535,0.489720732041173,1.32587777212157,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N,1
2023-09-13T01:00:55,stabilityai/stable-diffusion-2-1-base,93576801-40c8-4eab-ae5f-9def8e22f512,3819.95768332481,0.173582596609929,4.54409736965585E-05,42.5,482.390235267675,430.77675,0.0452370917176206,0.747517765235941,0.458292474434092,1.25104733138765,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N,1
2023-09-13T02:10:16,runwayml/stable-diffusion-v1-5,5c1af772-24ed-4bfd-85c6-8c13417ab7af,4084.3269712925,0.185133039484695,4.53276735153526E-05,42.5,620.029683227037,430.77675,0.0483982341955105,0.795441132463523,0.490454505666668,1.3342938723257,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N,1
2023-09-13T04:41:50,stabilityai/stable-diffusion-2-1,7fd7d305-6fd0-4025-a860-f1859e0f53cf,9074.21452999115,0.416711728591908,4.5922622527232E-05,42.5,544.077308499645,430.77675,0.107262221922643,1.80900711053783,1.08706225834614,3.00333159080662,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N,1
2023-09-13T14:05:19,stabilityai/stable-diffusion-xl-base-1.0,9bc5e624-55a2-4207-9448-58c0d2468fad,33774.6046724319,1.53124824988843,4.53372664088734E-05,42.5,541.673834880239,430.77675,0.399030919882655,6.59260043102051,4.04440609828747,11.0360374491906,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N,1
2023-09-13T15:13:50,SG161222/Realistic_Vision_V1.4,a776e37f-0287-460b-a29d-8e820daad5ef,4085.44715094566,0.181641388066996,4.44605893445352E-05,42.5,514.667154939676,430.77675,0.0484333176003562,0.77003463158286,0.490660835895497,1.30912878507871,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N,1
2023-09-13T16:22:18,CompVis/stable-diffusion-v1-4,0147b7ba-22e4-4652-b184-50a8f4a70e0a,4085.22708725929,0.182145827044434,4.45864631644339E-05,42.5,493.459705476769,430.77675,0.0483937658182448,0.774093165940755,0.49027745417427,1.31276438593327,United States,USA,oregon,,,Linux-5.15.0-1023-aws-x86_64-with-glibc2.17,3.8.16,2.3.1,1,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,8,8 x NVIDIA A100-SXM4-80GB,-119.7257,45.8234,1148.738,machine,N,1
