Input,Output,model,dataset
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
30,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
41,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
59,1,google/flan-t5-base,imdb
