Input,Output,model,dataset
27,1,bigscience/bloomz-560m,rotten_tomatoes
19,1,bigscience/bloomz-560m,rotten_tomatoes
29,1,bigscience/bloomz-560m,rotten_tomatoes
30,1,bigscience/bloomz-560m,rotten_tomatoes
17,1,bigscience/bloomz-560m,rotten_tomatoes
33,1,bigscience/bloomz-560m,rotten_tomatoes
19,1,bigscience/bloomz-560m,rotten_tomatoes
16,1,bigscience/bloomz-560m,rotten_tomatoes
42,1,bigscience/bloomz-560m,rotten_tomatoes
38,1,bigscience/bloomz-560m,rotten_tomatoes
29,1,bigscience/bloomz-560m,rotten_tomatoes
46,1,bigscience/bloomz-560m,rotten_tomatoes
15,1,bigscience/bloomz-560m,rotten_tomatoes
50,1,bigscience/bloomz-560m,rotten_tomatoes
28,0,bigscience/bloomz-560m,rotten_tomatoes
14,1,bigscience/bloomz-560m,rotten_tomatoes
40,1,bigscience/bloomz-560m,rotten_tomatoes
32,1,bigscience/bloomz-560m,rotten_tomatoes
30,1,bigscience/bloomz-560m,rotten_tomatoes
48,1,bigscience/bloomz-560m,rotten_tomatoes
15,1,bigscience/bloomz-560m,rotten_tomatoes
22,1,bigscience/bloomz-560m,rotten_tomatoes
33,1,bigscience/bloomz-560m,rotten_tomatoes
29,1,bigscience/bloomz-560m,rotten_tomatoes
49,1,bigscience/bloomz-560m,rotten_tomatoes
31,1,bigscience/bloomz-560m,rotten_tomatoes
27,1,bigscience/bloomz-560m,rotten_tomatoes
26,1,bigscience/bloomz-560m,rotten_tomatoes
16,1,bigscience/bloomz-560m,rotten_tomatoes
28,1,bigscience/bloomz-560m,rotten_tomatoes
28,1,bigscience/bloomz-560m,rotten_tomatoes
35,1,bigscience/bloomz-560m,rotten_tomatoes
46,1,bigscience/bloomz-560m,rotten_tomatoes
35,1,bigscience/bloomz-560m,rotten_tomatoes
41,1,bigscience/bloomz-560m,rotten_tomatoes
32,1,bigscience/bloomz-560m,rotten_tomatoes
49,1,bigscience/bloomz-560m,rotten_tomatoes
33,1,bigscience/bloomz-560m,rotten_tomatoes
48,1,bigscience/bloomz-560m,rotten_tomatoes
25,1,bigscience/bloomz-560m,rotten_tomatoes
15,1,bigscience/bloomz-560m,rotten_tomatoes
17,1,bigscience/bloomz-560m,rotten_tomatoes
17,1,bigscience/bloomz-560m,rotten_tomatoes
16,1,bigscience/bloomz-560m,rotten_tomatoes
16,1,bigscience/bloomz-560m,rotten_tomatoes
16,1,bigscience/bloomz-560m,rotten_tomatoes
28,1,bigscience/bloomz-560m,rotten_tomatoes
26,1,bigscience/bloomz-560m,rotten_tomatoes
32,1,bigscience/bloomz-560m,rotten_tomatoes
59,5,bigscience/bloomz-560m,rotten_tomatoes
33,1,bigscience/bloomz-560m,rotten_tomatoes
30,1,bigscience/bloomz-560m,rotten_tomatoes
30,0,bigscience/bloomz-560m,rotten_tomatoes
31,1,bigscience/bloomz-560m,rotten_tomatoes
39,1,bigscience/bloomz-560m,rotten_tomatoes
49,1,bigscience/bloomz-560m,rotten_tomatoes
31,1,bigscience/bloomz-560m,rotten_tomatoes
17,0,bigscience/bloomz-560m,rotten_tomatoes
40,1,bigscience/bloomz-560m,rotten_tomatoes
30,1,bigscience/bloomz-560m,rotten_tomatoes
48,1,bigscience/bloomz-560m,rotten_tomatoes
31,1,bigscience/bloomz-560m,rotten_tomatoes
15,1,bigscience/bloomz-560m,rotten_tomatoes
26,1,bigscience/bloomz-560m,rotten_tomatoes
30,1,bigscience/bloomz-560m,rotten_tomatoes
31,1,bigscience/bloomz-560m,rotten_tomatoes
25,1,bigscience/bloomz-560m,rotten_tomatoes
16,1,bigscience/bloomz-560m,rotten_tomatoes
32,1,bigscience/bloomz-560m,rotten_tomatoes
20,1,bigscience/bloomz-560m,rotten_tomatoes
21,1,bigscience/bloomz-560m,rotten_tomatoes
41,1,bigscience/bloomz-560m,rotten_tomatoes
27,1,bigscience/bloomz-560m,rotten_tomatoes
25,1,bigscience/bloomz-560m,rotten_tomatoes
30,1,bigscience/bloomz-560m,rotten_tomatoes
21,0,bigscience/bloomz-560m,rotten_tomatoes
29,1,bigscience/bloomz-560m,rotten_tomatoes
