Input,Output,model,dataset
20,3,bigscience/bloomz-560m,samsum
22,8,bigscience/bloomz-560m,samsum
54,9,bigscience/bloomz-560m,samsum
30,6,bigscience/bloomz-560m,samsum
54,15,bigscience/bloomz-560m,samsum
54,10,bigscience/bloomz-560m,samsum
54,9,bigscience/bloomz-560m,samsum
54,14,bigscience/bloomz-560m,samsum
53,5,bigscience/bloomz-560m,samsum
54,8,bigscience/bloomz-560m,samsum
54,11,bigscience/bloomz-560m,samsum
20,9,bigscience/bloomz-560m,samsum
23,7,bigscience/bloomz-560m,samsum
54,10,bigscience/bloomz-560m,samsum
54,8,bigscience/bloomz-560m,samsum
54,12,bigscience/bloomz-560m,samsum
54,7,bigscience/bloomz-560m,samsum
54,10,bigscience/bloomz-560m,samsum
46,12,bigscience/bloomz-560m,samsum
42,8,bigscience/bloomz-560m,samsum
54,12,bigscience/bloomz-560m,samsum
54,9,bigscience/bloomz-560m,samsum
19,11,bigscience/bloomz-560m,samsum
54,11,bigscience/bloomz-560m,samsum
49,9,bigscience/bloomz-560m,samsum
54,4,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
54,10,bigscience/bloomz-560m,samsum
54,10,bigscience/bloomz-560m,samsum
54,4,bigscience/bloomz-560m,samsum
54,1,bigscience/bloomz-560m,samsum
54,12,bigscience/bloomz-560m,samsum
24,5,bigscience/bloomz-560m,samsum
54,7,bigscience/bloomz-560m,samsum
54,11,bigscience/bloomz-560m,samsum
54,11,bigscience/bloomz-560m,samsum
54,7,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
54,11,bigscience/bloomz-560m,samsum
54,10,bigscience/bloomz-560m,samsum
54,12,bigscience/bloomz-560m,samsum
54,12,bigscience/bloomz-560m,samsum
54,11,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
54,9,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
49,13,bigscience/bloomz-560m,samsum
54,5,bigscience/bloomz-560m,samsum
29,5,bigscience/bloomz-560m,samsum
54,7,bigscience/bloomz-560m,samsum
33,13,bigscience/bloomz-560m,samsum
54,9,bigscience/bloomz-560m,samsum
54,15,bigscience/bloomz-560m,samsum
54,11,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
54,14,bigscience/bloomz-560m,samsum
54,5,bigscience/bloomz-560m,samsum
54,3,bigscience/bloomz-560m,samsum
54,10,bigscience/bloomz-560m,samsum
54,7,bigscience/bloomz-560m,samsum
41,7,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
30,7,bigscience/bloomz-560m,samsum
40,6,bigscience/bloomz-560m,samsum
54,14,bigscience/bloomz-560m,samsum
54,14,bigscience/bloomz-560m,samsum
54,11,bigscience/bloomz-560m,samsum
38,6,bigscience/bloomz-560m,samsum
18,7,bigscience/bloomz-560m,samsum
52,7,bigscience/bloomz-560m,samsum
54,10,bigscience/bloomz-560m,samsum
54,10,bigscience/bloomz-560m,samsum
54,6,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
54,8,bigscience/bloomz-560m,samsum
54,10,bigscience/bloomz-560m,samsum
51,6,bigscience/bloomz-560m,samsum
54,12,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
46,14,bigscience/bloomz-560m,samsum
26,5,bigscience/bloomz-560m,samsum
54,10,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
54,14,bigscience/bloomz-560m,samsum
16,7,bigscience/bloomz-560m,samsum
54,10,bigscience/bloomz-560m,samsum
54,12,bigscience/bloomz-560m,samsum
54,14,bigscience/bloomz-560m,samsum
21,9,bigscience/bloomz-560m,samsum
24,11,bigscience/bloomz-560m,samsum
54,11,bigscience/bloomz-560m,samsum
54,11,bigscience/bloomz-560m,samsum
54,14,bigscience/bloomz-560m,samsum
38,14,bigscience/bloomz-560m,samsum
54,12,bigscience/bloomz-560m,samsum
54,7,bigscience/bloomz-560m,samsum
46,10,bigscience/bloomz-560m,samsum
42,14,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
22,8,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
54,10,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
41,13,bigscience/bloomz-560m,samsum
29,11,bigscience/bloomz-560m,samsum
54,7,bigscience/bloomz-560m,samsum
50,13,bigscience/bloomz-560m,samsum
54,9,bigscience/bloomz-560m,samsum
33,5,bigscience/bloomz-560m,samsum
27,7,bigscience/bloomz-560m,samsum
54,8,bigscience/bloomz-560m,samsum
54,12,bigscience/bloomz-560m,samsum
54,15,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
54,5,bigscience/bloomz-560m,samsum
54,9,bigscience/bloomz-560m,samsum
54,12,bigscience/bloomz-560m,samsum
54,8,bigscience/bloomz-560m,samsum
54,11,bigscience/bloomz-560m,samsum
41,6,bigscience/bloomz-560m,samsum
45,10,bigscience/bloomz-560m,samsum
53,8,bigscience/bloomz-560m,samsum
54,11,bigscience/bloomz-560m,samsum
48,8,bigscience/bloomz-560m,samsum
49,12,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
54,11,bigscience/bloomz-560m,samsum
54,14,bigscience/bloomz-560m,samsum
54,6,bigscience/bloomz-560m,samsum
54,9,bigscience/bloomz-560m,samsum
54,14,bigscience/bloomz-560m,samsum
43,7,bigscience/bloomz-560m,samsum
37,6,bigscience/bloomz-560m,samsum
54,12,bigscience/bloomz-560m,samsum
54,12,bigscience/bloomz-560m,samsum
54,14,bigscience/bloomz-560m,samsum
54,11,bigscience/bloomz-560m,samsum
37,5,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
52,7,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
54,10,bigscience/bloomz-560m,samsum
47,13,bigscience/bloomz-560m,samsum
54,10,bigscience/bloomz-560m,samsum
54,5,bigscience/bloomz-560m,samsum
54,12,bigscience/bloomz-560m,samsum
41,8,bigscience/bloomz-560m,samsum
54,10,bigscience/bloomz-560m,samsum
54,9,bigscience/bloomz-560m,samsum
54,12,bigscience/bloomz-560m,samsum
54,8,bigscience/bloomz-560m,samsum
54,4,bigscience/bloomz-560m,samsum
54,14,bigscience/bloomz-560m,samsum
41,5,bigscience/bloomz-560m,samsum
54,7,bigscience/bloomz-560m,samsum
54,8,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
54,10,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
42,7,bigscience/bloomz-560m,samsum
54,11,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
54,9,bigscience/bloomz-560m,samsum
54,14,bigscience/bloomz-560m,samsum
54,11,bigscience/bloomz-560m,samsum
26,5,bigscience/bloomz-560m,samsum
54,10,bigscience/bloomz-560m,samsum
54,4,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
54,12,bigscience/bloomz-560m,samsum
47,11,bigscience/bloomz-560m,samsum
54,4,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
54,7,bigscience/bloomz-560m,samsum
32,11,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
54,10,bigscience/bloomz-560m,samsum
54,10,bigscience/bloomz-560m,samsum
53,7,bigscience/bloomz-560m,samsum
54,9,bigscience/bloomz-560m,samsum
54,8,bigscience/bloomz-560m,samsum
39,8,bigscience/bloomz-560m,samsum
54,11,bigscience/bloomz-560m,samsum
54,14,bigscience/bloomz-560m,samsum
54,11,bigscience/bloomz-560m,samsum
54,11,bigscience/bloomz-560m,samsum
27,7,bigscience/bloomz-560m,samsum
54,9,bigscience/bloomz-560m,samsum
54,12,bigscience/bloomz-560m,samsum
54,11,bigscience/bloomz-560m,samsum
54,11,bigscience/bloomz-560m,samsum
47,9,bigscience/bloomz-560m,samsum
54,8,bigscience/bloomz-560m,samsum
54,12,bigscience/bloomz-560m,samsum
54,8,bigscience/bloomz-560m,samsum
54,5,bigscience/bloomz-560m,samsum
54,14,bigscience/bloomz-560m,samsum
54,4,bigscience/bloomz-560m,samsum
54,10,bigscience/bloomz-560m,samsum
37,11,bigscience/bloomz-560m,samsum
29,9,bigscience/bloomz-560m,samsum
54,8,bigscience/bloomz-560m,samsum
54,10,bigscience/bloomz-560m,samsum
54,11,bigscience/bloomz-560m,samsum
53,7,bigscience/bloomz-560m,samsum
36,10,bigscience/bloomz-560m,samsum
30,9,bigscience/bloomz-560m,samsum
54,12,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
53,9,bigscience/bloomz-560m,samsum
54,12,bigscience/bloomz-560m,samsum
54,14,bigscience/bloomz-560m,samsum
54,12,bigscience/bloomz-560m,samsum
45,12,bigscience/bloomz-560m,samsum
37,11,bigscience/bloomz-560m,samsum
54,14,bigscience/bloomz-560m,samsum
32,8,bigscience/bloomz-560m,samsum
54,7,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
54,11,bigscience/bloomz-560m,samsum
49,12,bigscience/bloomz-560m,samsum
54,15,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
54,9,bigscience/bloomz-560m,samsum
54,8,bigscience/bloomz-560m,samsum
54,9,bigscience/bloomz-560m,samsum
25,8,bigscience/bloomz-560m,samsum
31,3,bigscience/bloomz-560m,samsum
32,4,bigscience/bloomz-560m,samsum
54,8,bigscience/bloomz-560m,samsum
34,13,bigscience/bloomz-560m,samsum
54,10,bigscience/bloomz-560m,samsum
54,10,bigscience/bloomz-560m,samsum
35,8,bigscience/bloomz-560m,samsum
54,10,bigscience/bloomz-560m,samsum
26,8,bigscience/bloomz-560m,samsum
54,2,bigscience/bloomz-560m,samsum
54,4,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
54,10,bigscience/bloomz-560m,samsum
54,8,bigscience/bloomz-560m,samsum
29,10,bigscience/bloomz-560m,samsum
54,10,bigscience/bloomz-560m,samsum
54,8,bigscience/bloomz-560m,samsum
29,7,bigscience/bloomz-560m,samsum
54,8,bigscience/bloomz-560m,samsum
54,7,bigscience/bloomz-560m,samsum
54,2,bigscience/bloomz-560m,samsum
30,13,bigscience/bloomz-560m,samsum
54,11,bigscience/bloomz-560m,samsum
54,11,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
54,13,bigscience/bloomz-560m,samsum
54,9,bigscience/bloomz-560m,samsum
