Input,Output,model,dataset
20,5,google/flan-t5-base,samsum
22,10,google/flan-t5-base,samsum
54,12,google/flan-t5-base,samsum
30,6,google/flan-t5-base,samsum
54,8,google/flan-t5-base,samsum
54,6,google/flan-t5-base,samsum
54,11,google/flan-t5-base,samsum
54,15,google/flan-t5-base,samsum
53,11,google/flan-t5-base,samsum
54,8,google/flan-t5-base,samsum
54,12,google/flan-t5-base,samsum
20,13,google/flan-t5-base,samsum
23,7,google/flan-t5-base,samsum
54,8,google/flan-t5-base,samsum
54,12,google/flan-t5-base,samsum
54,16,google/flan-t5-base,samsum
54,13,google/flan-t5-base,samsum
54,11,google/flan-t5-base,samsum
46,15,google/flan-t5-base,samsum
42,13,google/flan-t5-base,samsum
54,9,google/flan-t5-base,samsum
54,14,google/flan-t5-base,samsum
19,8,google/flan-t5-base,samsum
54,7,google/flan-t5-base,samsum
49,15,google/flan-t5-base,samsum
54,8,google/flan-t5-base,samsum
54,9,google/flan-t5-base,samsum
54,13,google/flan-t5-base,samsum
54,13,google/flan-t5-base,samsum
54,14,google/flan-t5-base,samsum
54,11,google/flan-t5-base,samsum
54,10,google/flan-t5-base,samsum
24,9,google/flan-t5-base,samsum
54,12,google/flan-t5-base,samsum
54,9,google/flan-t5-base,samsum
54,12,google/flan-t5-base,samsum
54,13,google/flan-t5-base,samsum
54,8,google/flan-t5-base,samsum
54,6,google/flan-t5-base,samsum
54,18,google/flan-t5-base,samsum
54,16,google/flan-t5-base,samsum
54,16,google/flan-t5-base,samsum
54,8,google/flan-t5-base,samsum
54,15,google/flan-t5-base,samsum
54,16,google/flan-t5-base,samsum
54,4,google/flan-t5-base,samsum
54,11,google/flan-t5-base,samsum
54,8,google/flan-t5-base,samsum
49,5,google/flan-t5-base,samsum
54,9,google/flan-t5-base,samsum
29,5,google/flan-t5-base,samsum
54,13,google/flan-t5-base,samsum
33,14,google/flan-t5-base,samsum
54,13,google/flan-t5-base,samsum
54,14,google/flan-t5-base,samsum
54,11,google/flan-t5-base,samsum
54,7,google/flan-t5-base,samsum
54,17,google/flan-t5-base,samsum
54,15,google/flan-t5-base,samsum
54,8,google/flan-t5-base,samsum
54,10,google/flan-t5-base,samsum
54,13,google/flan-t5-base,samsum
41,10,google/flan-t5-base,samsum
54,11,google/flan-t5-base,samsum
30,6,google/flan-t5-base,samsum
40,6,google/flan-t5-base,samsum
54,16,google/flan-t5-base,samsum
54,15,google/flan-t5-base,samsum
54,11,google/flan-t5-base,samsum
38,17,google/flan-t5-base,samsum
18,5,google/flan-t5-base,samsum
52,6,google/flan-t5-base,samsum
54,14,google/flan-t5-base,samsum
54,8,google/flan-t5-base,samsum
54,7,google/flan-t5-base,samsum
54,18,google/flan-t5-base,samsum
54,12,google/flan-t5-base,samsum
54,15,google/flan-t5-base,samsum
51,12,google/flan-t5-base,samsum
54,10,google/flan-t5-base,samsum
54,14,google/flan-t5-base,samsum
46,13,google/flan-t5-base,samsum
26,8,google/flan-t5-base,samsum
54,13,google/flan-t5-base,samsum
54,12,google/flan-t5-base,samsum
54,15,google/flan-t5-base,samsum
16,5,google/flan-t5-base,samsum
54,6,google/flan-t5-base,samsum
54,10,google/flan-t5-base,samsum
54,16,google/flan-t5-base,samsum
21,12,google/flan-t5-base,samsum
24,12,google/flan-t5-base,samsum
54,7,google/flan-t5-base,samsum
54,7,google/flan-t5-base,samsum
54,15,google/flan-t5-base,samsum
38,8,google/flan-t5-base,samsum
