Input,Output,model,dataset
68,1,bigscience/bloomz-560m,sciq
115,1,bigscience/bloomz-560m,sciq
89,1,bigscience/bloomz-560m,sciq
86,1,bigscience/bloomz-560m,sciq
101,1,bigscience/bloomz-560m,sciq
182,4,bigscience/bloomz-560m,sciq
161,1,bigscience/bloomz-560m,sciq
140,1,bigscience/bloomz-560m,sciq
114,1,bigscience/bloomz-560m,sciq
87,1,bigscience/bloomz-560m,sciq
68,1,bigscience/bloomz-560m,sciq
212,1,bigscience/bloomz-560m,sciq
201,3,bigscience/bloomz-560m,sciq
117,1,bigscience/bloomz-560m,sciq
98,1,bigscience/bloomz-560m,sciq
158,1,bigscience/bloomz-560m,sciq
170,1,bigscience/bloomz-560m,sciq
119,1,bigscience/bloomz-560m,sciq
112,1,bigscience/bloomz-560m,sciq
135,5,bigscience/bloomz-560m,sciq
97,1,bigscience/bloomz-560m,sciq
137,1,bigscience/bloomz-560m,sciq
77,4,bigscience/bloomz-560m,sciq
52,2,bigscience/bloomz-560m,sciq
265,1,bigscience/bloomz-560m,sciq
95,1,bigscience/bloomz-560m,sciq
88,1,bigscience/bloomz-560m,sciq
78,1,bigscience/bloomz-560m,sciq
167,1,bigscience/bloomz-560m,sciq
221,1,bigscience/bloomz-560m,sciq
112,1,bigscience/bloomz-560m,sciq
85,4,bigscience/bloomz-560m,sciq
75,1,bigscience/bloomz-560m,sciq
92,1,bigscience/bloomz-560m,sciq
105,1,bigscience/bloomz-560m,sciq
102,1,bigscience/bloomz-560m,sciq
102,1,bigscience/bloomz-560m,sciq
59,1,bigscience/bloomz-560m,sciq
103,1,bigscience/bloomz-560m,sciq
121,1,bigscience/bloomz-560m,sciq
50,1,bigscience/bloomz-560m,sciq
80,1,bigscience/bloomz-560m,sciq
89,1,bigscience/bloomz-560m,sciq
120,1,bigscience/bloomz-560m,sciq
93,1,bigscience/bloomz-560m,sciq
76,2,bigscience/bloomz-560m,sciq
118,2,bigscience/bloomz-560m,sciq
46,1,bigscience/bloomz-560m,sciq
100,1,bigscience/bloomz-560m,sciq
126,1,bigscience/bloomz-560m,sciq
84,1,bigscience/bloomz-560m,sciq
130,1,bigscience/bloomz-560m,sciq
156,1,bigscience/bloomz-560m,sciq
74,1,bigscience/bloomz-560m,sciq
102,1,bigscience/bloomz-560m,sciq
117,1,bigscience/bloomz-560m,sciq
208,1,bigscience/bloomz-560m,sciq
196,1,bigscience/bloomz-560m,sciq
85,1,bigscience/bloomz-560m,sciq
127,1,bigscience/bloomz-560m,sciq
281,1,bigscience/bloomz-560m,sciq
98,1,bigscience/bloomz-560m,sciq
96,1,bigscience/bloomz-560m,sciq
135,1,bigscience/bloomz-560m,sciq
124,1,bigscience/bloomz-560m,sciq
116,1,bigscience/bloomz-560m,sciq
116,1,bigscience/bloomz-560m,sciq
70,1,bigscience/bloomz-560m,sciq
116,1,bigscience/bloomz-560m,sciq
111,1,bigscience/bloomz-560m,sciq
109,1,bigscience/bloomz-560m,sciq
108,1,bigscience/bloomz-560m,sciq
143,3,bigscience/bloomz-560m,sciq
122,1,bigscience/bloomz-560m,sciq
223,1,bigscience/bloomz-560m,sciq
131,1,bigscience/bloomz-560m,sciq
147,1,bigscience/bloomz-560m,sciq
107,1,bigscience/bloomz-560m,sciq
94,1,bigscience/bloomz-560m,sciq
98,1,bigscience/bloomz-560m,sciq
51,1,bigscience/bloomz-560m,sciq
98,1,bigscience/bloomz-560m,sciq
105,1,bigscience/bloomz-560m,sciq
172,1,bigscience/bloomz-560m,sciq
82,2,bigscience/bloomz-560m,sciq
48,1,bigscience/bloomz-560m,sciq
71,1,bigscience/bloomz-560m,sciq
49,1,bigscience/bloomz-560m,sciq
190,1,bigscience/bloomz-560m,sciq
70,1,bigscience/bloomz-560m,sciq
191,1,bigscience/bloomz-560m,sciq
91,1,bigscience/bloomz-560m,sciq
102,1,bigscience/bloomz-560m,sciq
80,1,bigscience/bloomz-560m,sciq
64,1,bigscience/bloomz-560m,sciq
119,1,bigscience/bloomz-560m,sciq
95,1,bigscience/bloomz-560m,sciq
75,1,bigscience/bloomz-560m,sciq
88,1,bigscience/bloomz-560m,sciq
84,1,bigscience/bloomz-560m,sciq
87,1,bigscience/bloomz-560m,sciq
89,1,bigscience/bloomz-560m,sciq
109,1,bigscience/bloomz-560m,sciq
60,1,bigscience/bloomz-560m,sciq
83,1,bigscience/bloomz-560m,sciq
129,2,bigscience/bloomz-560m,sciq
94,2,bigscience/bloomz-560m,sciq
106,1,bigscience/bloomz-560m,sciq
52,1,bigscience/bloomz-560m,sciq
65,1,bigscience/bloomz-560m,sciq
93,1,bigscience/bloomz-560m,sciq
101,1,bigscience/bloomz-560m,sciq
178,1,bigscience/bloomz-560m,sciq
152,1,bigscience/bloomz-560m,sciq
130,1,bigscience/bloomz-560m,sciq
137,1,bigscience/bloomz-560m,sciq
160,1,bigscience/bloomz-560m,sciq
112,1,bigscience/bloomz-560m,sciq
262,1,bigscience/bloomz-560m,sciq
88,1,bigscience/bloomz-560m,sciq
46,1,bigscience/bloomz-560m,sciq
116,5,bigscience/bloomz-560m,sciq
42,1,bigscience/bloomz-560m,sciq
71,1,bigscience/bloomz-560m,sciq
101,1,bigscience/bloomz-560m,sciq
116,1,bigscience/bloomz-560m,sciq
75,2,bigscience/bloomz-560m,sciq
237,1,bigscience/bloomz-560m,sciq
96,1,bigscience/bloomz-560m,sciq
200,1,bigscience/bloomz-560m,sciq
59,1,bigscience/bloomz-560m,sciq
213,1,bigscience/bloomz-560m,sciq
160,1,bigscience/bloomz-560m,sciq
105,1,bigscience/bloomz-560m,sciq
125,1,bigscience/bloomz-560m,sciq
93,1,bigscience/bloomz-560m,sciq
84,1,bigscience/bloomz-560m,sciq
161,1,bigscience/bloomz-560m,sciq
132,1,bigscience/bloomz-560m,sciq
52,2,bigscience/bloomz-560m,sciq
59,2,bigscience/bloomz-560m,sciq
119,1,bigscience/bloomz-560m,sciq
56,1,bigscience/bloomz-560m,sciq
164,1,bigscience/bloomz-560m,sciq
103,1,bigscience/bloomz-560m,sciq
76,1,bigscience/bloomz-560m,sciq
133,1,bigscience/bloomz-560m,sciq
165,1,bigscience/bloomz-560m,sciq
72,1,bigscience/bloomz-560m,sciq
170,1,bigscience/bloomz-560m,sciq
84,1,bigscience/bloomz-560m,sciq
59,1,bigscience/bloomz-560m,sciq
152,1,bigscience/bloomz-560m,sciq
75,1,bigscience/bloomz-560m,sciq
105,1,bigscience/bloomz-560m,sciq
172,1,bigscience/bloomz-560m,sciq
128,1,bigscience/bloomz-560m,sciq
55,1,bigscience/bloomz-560m,sciq
412,2,bigscience/bloomz-560m,sciq
