Input,Output,model,dataset
68,1,google/flan-t5-base,sciq
115,1,google/flan-t5-base,sciq
89,1,google/flan-t5-base,sciq
86,1,google/flan-t5-base,sciq
101,1,google/flan-t5-base,sciq
182,1,google/flan-t5-base,sciq
161,1,google/flan-t5-base,sciq
140,1,google/flan-t5-base,sciq
114,1,google/flan-t5-base,sciq
87,1,google/flan-t5-base,sciq
68,1,google/flan-t5-base,sciq
212,1,google/flan-t5-base,sciq
201,1,google/flan-t5-base,sciq
117,1,google/flan-t5-base,sciq
98,1,google/flan-t5-base,sciq
158,1,google/flan-t5-base,sciq
170,1,google/flan-t5-base,sciq
119,1,google/flan-t5-base,sciq
112,1,google/flan-t5-base,sciq
135,1,google/flan-t5-base,sciq
97,1,google/flan-t5-base,sciq
137,1,google/flan-t5-base,sciq
77,1,google/flan-t5-base,sciq
52,1,google/flan-t5-base,sciq
265,1,google/flan-t5-base,sciq
95,1,google/flan-t5-base,sciq
88,1,google/flan-t5-base,sciq
78,1,google/flan-t5-base,sciq
167,1,google/flan-t5-base,sciq
221,1,google/flan-t5-base,sciq
112,1,google/flan-t5-base,sciq
85,1,google/flan-t5-base,sciq
75,1,google/flan-t5-base,sciq
92,1,google/flan-t5-base,sciq
105,13,google/flan-t5-base,sciq
102,1,google/flan-t5-base,sciq
102,1,google/flan-t5-base,sciq
59,1,google/flan-t5-base,sciq
103,1,google/flan-t5-base,sciq
121,1,google/flan-t5-base,sciq
50,1,google/flan-t5-base,sciq
80,1,google/flan-t5-base,sciq
89,1,google/flan-t5-base,sciq
120,1,google/flan-t5-base,sciq
93,1,google/flan-t5-base,sciq
76,1,google/flan-t5-base,sciq
118,1,google/flan-t5-base,sciq
46,1,google/flan-t5-base,sciq
100,1,google/flan-t5-base,sciq
126,1,google/flan-t5-base,sciq
84,1,google/flan-t5-base,sciq
130,1,google/flan-t5-base,sciq
156,1,google/flan-t5-base,sciq
74,1,google/flan-t5-base,sciq
102,1,google/flan-t5-base,sciq
