Input,Output,model,dataset
145,2,bigscience/bloomz-560m,squad
145,2,bigscience/bloomz-560m,squad
142,2,bigscience/bloomz-560m,squad
142,2,bigscience/bloomz-560m,squad
148,1,bigscience/bloomz-560m,squad
143,2,bigscience/bloomz-560m,squad
142,3,bigscience/bloomz-560m,squad
141,3,bigscience/bloomz-560m,squad
143,2,bigscience/bloomz-560m,squad
140,3,bigscience/bloomz-560m,squad
143,3,bigscience/bloomz-560m,squad
140,2,bigscience/bloomz-560m,squad
144,2,bigscience/bloomz-560m,squad
144,4,bigscience/bloomz-560m,squad
148,3,bigscience/bloomz-560m,squad
145,1,bigscience/bloomz-560m,squad
150,1,bigscience/bloomz-560m,squad
144,4,bigscience/bloomz-560m,squad
144,2,bigscience/bloomz-560m,squad
145,1,bigscience/bloomz-560m,squad
147,3,bigscience/bloomz-560m,squad
141,1,bigscience/bloomz-560m,squad
141,2,bigscience/bloomz-560m,squad
141,2,bigscience/bloomz-560m,squad
140,2,bigscience/bloomz-560m,squad
145,1,bigscience/bloomz-560m,squad
141,2,bigscience/bloomz-560m,squad
141,4,bigscience/bloomz-560m,squad
143,3,bigscience/bloomz-560m,squad
143,2,bigscience/bloomz-560m,squad
126,2,bigscience/bloomz-560m,squad
129,1,bigscience/bloomz-560m,squad
125,1,bigscience/bloomz-560m,squad
123,2,bigscience/bloomz-560m,squad
128,4,bigscience/bloomz-560m,squad
127,2,bigscience/bloomz-560m,squad
126,3,bigscience/bloomz-560m,squad
124,2,bigscience/bloomz-560m,squad
128,1,bigscience/bloomz-560m,squad
123,2,bigscience/bloomz-560m,squad
132,1,bigscience/bloomz-560m,squad
131,2,bigscience/bloomz-560m,squad
131,1,bigscience/bloomz-560m,squad
128,1,bigscience/bloomz-560m,squad
135,2,bigscience/bloomz-560m,squad
124,2,bigscience/bloomz-560m,squad
126,2,bigscience/bloomz-560m,squad
128,1,bigscience/bloomz-560m,squad
125,2,bigscience/bloomz-560m,squad
128,2,bigscience/bloomz-560m,squad
127,1,bigscience/bloomz-560m,squad
129,2,bigscience/bloomz-560m,squad
123,2,bigscience/bloomz-560m,squad
127,2,bigscience/bloomz-560m,squad
124,1,bigscience/bloomz-560m,squad
76,1,bigscience/bloomz-560m,squad
80,1,bigscience/bloomz-560m,squad
79,1,bigscience/bloomz-560m,squad
77,1,bigscience/bloomz-560m,squad
81,1,bigscience/bloomz-560m,squad
75,1,bigscience/bloomz-560m,squad
76,1,bigscience/bloomz-560m,squad
75,1,bigscience/bloomz-560m,squad
76,1,bigscience/bloomz-560m,squad
76,1,bigscience/bloomz-560m,squad
81,1,bigscience/bloomz-560m,squad
79,1,bigscience/bloomz-560m,squad
84,1,bigscience/bloomz-560m,squad
83,1,bigscience/bloomz-560m,squad
77,1,bigscience/bloomz-560m,squad
79,1,bigscience/bloomz-560m,squad
80,1,bigscience/bloomz-560m,squad
80,1,bigscience/bloomz-560m,squad
78,1,bigscience/bloomz-560m,squad
79,1,bigscience/bloomz-560m,squad
75,1,bigscience/bloomz-560m,squad
77,1,bigscience/bloomz-560m,squad
80,1,bigscience/bloomz-560m,squad
78,1,bigscience/bloomz-560m,squad
81,1,bigscience/bloomz-560m,squad
85,1,bigscience/bloomz-560m,squad
90,2,bigscience/bloomz-560m,squad
85,1,bigscience/bloomz-560m,squad
88,1,bigscience/bloomz-560m,squad
86,3,bigscience/bloomz-560m,squad
88,1,bigscience/bloomz-560m,squad
85,2,bigscience/bloomz-560m,squad
84,1,bigscience/bloomz-560m,squad
84,1,bigscience/bloomz-560m,squad
86,1,bigscience/bloomz-560m,squad
85,1,bigscience/bloomz-560m,squad
92,2,bigscience/bloomz-560m,squad
91,1,bigscience/bloomz-560m,squad
94,1,bigscience/bloomz-560m,squad
82,1,bigscience/bloomz-560m,squad
85,2,bigscience/bloomz-560m,squad
84,1,bigscience/bloomz-560m,squad
87,4,bigscience/bloomz-560m,squad
83,1,bigscience/bloomz-560m,squad
85,1,bigscience/bloomz-560m,squad
86,4,bigscience/bloomz-560m,squad
84,3,bigscience/bloomz-560m,squad
85,2,bigscience/bloomz-560m,squad
84,1,bigscience/bloomz-560m,squad
89,1,bigscience/bloomz-560m,squad
85,1,bigscience/bloomz-560m,squad
51,2,bigscience/bloomz-560m,squad
51,1,bigscience/bloomz-560m,squad
61,1,bigscience/bloomz-560m,squad
52,2,bigscience/bloomz-560m,squad
54,2,bigscience/bloomz-560m,squad
53,2,bigscience/bloomz-560m,squad
50,2,bigscience/bloomz-560m,squad
50,2,bigscience/bloomz-560m,squad
55,1,bigscience/bloomz-560m,squad
61,1,bigscience/bloomz-560m,squad
56,1,bigscience/bloomz-560m,squad
48,2,bigscience/bloomz-560m,squad
48,2,bigscience/bloomz-560m,squad
48,2,bigscience/bloomz-560m,squad
50,2,bigscience/bloomz-560m,squad
46,2,bigscience/bloomz-560m,squad
54,2,bigscience/bloomz-560m,squad
53,2,bigscience/bloomz-560m,squad
51,3,bigscience/bloomz-560m,squad
47,14,bigscience/bloomz-560m,squad
49,1,bigscience/bloomz-560m,squad
45,4,bigscience/bloomz-560m,squad
48,2,bigscience/bloomz-560m,squad
44,4,bigscience/bloomz-560m,squad
48,2,bigscience/bloomz-560m,squad
45,2,bigscience/bloomz-560m,squad
46,2,bigscience/bloomz-560m,squad
49,2,bigscience/bloomz-560m,squad
129,3,bigscience/bloomz-560m,squad
130,1,bigscience/bloomz-560m,squad
131,1,bigscience/bloomz-560m,squad
131,1,bigscience/bloomz-560m,squad
130,1,bigscience/bloomz-560m,squad
126,3,bigscience/bloomz-560m,squad
123,3,bigscience/bloomz-560m,squad
127,3,bigscience/bloomz-560m,squad
134,3,bigscience/bloomz-560m,squad
132,1,bigscience/bloomz-560m,squad
132,1,bigscience/bloomz-560m,squad
134,1,bigscience/bloomz-560m,squad
138,1,bigscience/bloomz-560m,squad
143,2,bigscience/bloomz-560m,squad
131,1,bigscience/bloomz-560m,squad
128,2,bigscience/bloomz-560m,squad
131,3,bigscience/bloomz-560m,squad
130,1,bigscience/bloomz-560m,squad
129,1,bigscience/bloomz-560m,squad
129,1,bigscience/bloomz-560m,squad
143,3,bigscience/bloomz-560m,squad
85,3,bigscience/bloomz-560m,squad
82,1,bigscience/bloomz-560m,squad
78,1,bigscience/bloomz-560m,squad
82,2,bigscience/bloomz-560m,squad
81,4,bigscience/bloomz-560m,squad
84,1,bigscience/bloomz-560m,squad
84,3,bigscience/bloomz-560m,squad
82,2,bigscience/bloomz-560m,squad
86,1,bigscience/bloomz-560m,squad
84,4,bigscience/bloomz-560m,squad
86,1,bigscience/bloomz-560m,squad
82,1,bigscience/bloomz-560m,squad
88,2,bigscience/bloomz-560m,squad
92,1,bigscience/bloomz-560m,squad
84,3,bigscience/bloomz-560m,squad
86,3,bigscience/bloomz-560m,squad
78,1,bigscience/bloomz-560m,squad
81,1,bigscience/bloomz-560m,squad
90,4,bigscience/bloomz-560m,squad
82,3,bigscience/bloomz-560m,squad
78,1,bigscience/bloomz-560m,squad
79,2,bigscience/bloomz-560m,squad
83,1,bigscience/bloomz-560m,squad
150,2,bigscience/bloomz-560m,squad
143,1,bigscience/bloomz-560m,squad
141,1,bigscience/bloomz-560m,squad
141,2,bigscience/bloomz-560m,squad
141,1,bigscience/bloomz-560m,squad
143,2,bigscience/bloomz-560m,squad
153,1,bigscience/bloomz-560m,squad
147,1,bigscience/bloomz-560m,squad
144,3,bigscience/bloomz-560m,squad
141,1,bigscience/bloomz-560m,squad
137,2,bigscience/bloomz-560m,squad
137,2,bigscience/bloomz-560m,squad
142,3,bigscience/bloomz-560m,squad
143,3,bigscience/bloomz-560m,squad
143,1,bigscience/bloomz-560m,squad
146,1,bigscience/bloomz-560m,squad
147,1,bigscience/bloomz-560m,squad
150,2,bigscience/bloomz-560m,squad
167,1,bigscience/bloomz-560m,squad
173,2,bigscience/bloomz-560m,squad
175,1,bigscience/bloomz-560m,squad
172,1,bigscience/bloomz-560m,squad
168,2,bigscience/bloomz-560m,squad
168,1,bigscience/bloomz-560m,squad
166,1,bigscience/bloomz-560m,squad
168,1,bigscience/bloomz-560m,squad
173,1,bigscience/bloomz-560m,squad
170,1,bigscience/bloomz-560m,squad
170,1,bigscience/bloomz-560m,squad
173,2,bigscience/bloomz-560m,squad
174,2,bigscience/bloomz-560m,squad
167,1,bigscience/bloomz-560m,squad
169,1,bigscience/bloomz-560m,squad
170,1,bigscience/bloomz-560m,squad
170,1,bigscience/bloomz-560m,squad
174,1,bigscience/bloomz-560m,squad
170,2,bigscience/bloomz-560m,squad
172,1,bigscience/bloomz-560m,squad
225,1,bigscience/bloomz-560m,squad
224,1,bigscience/bloomz-560m,squad
223,1,bigscience/bloomz-560m,squad
224,1,bigscience/bloomz-560m,squad
224,2,bigscience/bloomz-560m,squad
228,1,bigscience/bloomz-560m,squad
226,1,bigscience/bloomz-560m,squad
226,1,bigscience/bloomz-560m,squad
222,1,bigscience/bloomz-560m,squad
232,2,bigscience/bloomz-560m,squad
231,1,bigscience/bloomz-560m,squad
224,2,bigscience/bloomz-560m,squad
225,1,bigscience/bloomz-560m,squad
224,1,bigscience/bloomz-560m,squad
226,1,bigscience/bloomz-560m,squad
229,1,bigscience/bloomz-560m,squad
228,1,bigscience/bloomz-560m,squad
226,1,bigscience/bloomz-560m,squad
223,1,bigscience/bloomz-560m,squad
226,1,bigscience/bloomz-560m,squad
214,1,bigscience/bloomz-560m,squad
214,1,bigscience/bloomz-560m,squad
213,1,bigscience/bloomz-560m,squad
213,1,bigscience/bloomz-560m,squad
216,2,bigscience/bloomz-560m,squad
217,1,bigscience/bloomz-560m,squad
212,2,bigscience/bloomz-560m,squad
217,1,bigscience/bloomz-560m,squad
214,1,bigscience/bloomz-560m,squad
215,2,bigscience/bloomz-560m,squad
216,1,bigscience/bloomz-560m,squad
218,2,bigscience/bloomz-560m,squad
214,2,bigscience/bloomz-560m,squad
217,1,bigscience/bloomz-560m,squad
356,2,bigscience/bloomz-560m,squad
359,2,bigscience/bloomz-560m,squad
357,2,bigscience/bloomz-560m,squad
361,3,bigscience/bloomz-560m,squad
353,2,bigscience/bloomz-560m,squad
361,1,bigscience/bloomz-560m,squad
364,2,bigscience/bloomz-560m,squad
358,2,bigscience/bloomz-560m,squad
355,1,bigscience/bloomz-560m,squad
363,2,bigscience/bloomz-560m,squad
361,2,bigscience/bloomz-560m,squad
357,2,bigscience/bloomz-560m,squad
359,2,bigscience/bloomz-560m,squad
359,1,bigscience/bloomz-560m,squad
360,1,bigscience/bloomz-560m,squad
361,2,bigscience/bloomz-560m,squad
371,2,bigscience/bloomz-560m,squad
358,2,bigscience/bloomz-560m,squad
360,2,bigscience/bloomz-560m,squad
358,2,bigscience/bloomz-560m,squad
175,1,bigscience/bloomz-560m,squad
