Input,Output,model,dataset
130,1,bigscience/bloomz-560m,Squad_2_
130,4,bigscience/bloomz-560m,Squad_2_
131,4,bigscience/bloomz-560m,Squad_2_
129,1,bigscience/bloomz-560m,Squad_2_
134,1,bigscience/bloomz-560m,Squad_2_
135,1,bigscience/bloomz-560m,Squad_2_
130,1,bigscience/bloomz-560m,Squad_2_
132,1,bigscience/bloomz-560m,Squad_2_
130,6,bigscience/bloomz-560m,Squad_2_
246,3,bigscience/bloomz-560m,Squad_2_
243,2,bigscience/bloomz-560m,Squad_2_
242,1,bigscience/bloomz-560m,Squad_2_
250,4,bigscience/bloomz-560m,Squad_2_
244,1,bigscience/bloomz-560m,Squad_2_
242,2,bigscience/bloomz-560m,Squad_2_
243,2,bigscience/bloomz-560m,Squad_2_
244,3,bigscience/bloomz-560m,Squad_2_
69,6,bigscience/bloomz-560m,Squad_2_
71,2,bigscience/bloomz-560m,Squad_2_
68,1,bigscience/bloomz-560m,Squad_2_
71,2,bigscience/bloomz-560m,Squad_2_
171,1,bigscience/bloomz-560m,Squad_2_
173,6,bigscience/bloomz-560m,Squad_2_
170,2,bigscience/bloomz-560m,Squad_2_
172,2,bigscience/bloomz-560m,Squad_2_
172,1,bigscience/bloomz-560m,Squad_2_
175,1,bigscience/bloomz-560m,Squad_2_
176,1,bigscience/bloomz-560m,Squad_2_
123,1,bigscience/bloomz-560m,Squad_2_
120,1,bigscience/bloomz-560m,Squad_2_
119,1,bigscience/bloomz-560m,Squad_2_
98,1,bigscience/bloomz-560m,Squad_2_
101,3,bigscience/bloomz-560m,Squad_2_
100,1,bigscience/bloomz-560m,Squad_2_
101,1,bigscience/bloomz-560m,Squad_2_
99,1,bigscience/bloomz-560m,Squad_2_
118,2,bigscience/bloomz-560m,Squad_2_
118,1,bigscience/bloomz-560m,Squad_2_
118,2,bigscience/bloomz-560m,Squad_2_
117,1,bigscience/bloomz-560m,Squad_2_
140,2,bigscience/bloomz-560m,Squad_2_
135,1,bigscience/bloomz-560m,Squad_2_
134,2,bigscience/bloomz-560m,Squad_2_
137,1,bigscience/bloomz-560m,Squad_2_
136,1,bigscience/bloomz-560m,Squad_2_
110,1,bigscience/bloomz-560m,Squad_2_
111,1,bigscience/bloomz-560m,Squad_2_
112,2,bigscience/bloomz-560m,Squad_2_
113,1,bigscience/bloomz-560m,Squad_2_
110,1,bigscience/bloomz-560m,Squad_2_
111,4,bigscience/bloomz-560m,Squad_2_
110,1,bigscience/bloomz-560m,Squad_2_
143,1,bigscience/bloomz-560m,Squad_2_
146,1,bigscience/bloomz-560m,Squad_2_
144,2,bigscience/bloomz-560m,Squad_2_
145,1,bigscience/bloomz-560m,Squad_2_
143,11,bigscience/bloomz-560m,Squad_2_
140,1,bigscience/bloomz-560m,Squad_2_
141,3,bigscience/bloomz-560m,Squad_2_
87,1,bigscience/bloomz-560m,Squad_2_
87,2,bigscience/bloomz-560m,Squad_2_
89,2,bigscience/bloomz-560m,Squad_2_
89,2,bigscience/bloomz-560m,Squad_2_
300,2,bigscience/bloomz-560m,Squad_2_
297,1,bigscience/bloomz-560m,Squad_2_
297,1,bigscience/bloomz-560m,Squad_2_
298,2,bigscience/bloomz-560m,Squad_2_
295,2,bigscience/bloomz-560m,Squad_2_
299,1,bigscience/bloomz-560m,Squad_2_
297,1,bigscience/bloomz-560m,Squad_2_
140,1,bigscience/bloomz-560m,Squad_2_
134,2,bigscience/bloomz-560m,Squad_2_
136,2,bigscience/bloomz-560m,Squad_2_
139,1,bigscience/bloomz-560m,Squad_2_
138,1,bigscience/bloomz-560m,Squad_2_
134,1,bigscience/bloomz-560m,Squad_2_
64,1,bigscience/bloomz-560m,Squad_2_
64,1,bigscience/bloomz-560m,Squad_2_
62,1,bigscience/bloomz-560m,Squad_2_
65,1,bigscience/bloomz-560m,Squad_2_
62,3,bigscience/bloomz-560m,Squad_2_
65,1,bigscience/bloomz-560m,Squad_2_
121,4,bigscience/bloomz-560m,Squad_2_
121,4,bigscience/bloomz-560m,Squad_2_
122,1,bigscience/bloomz-560m,Squad_2_
121,1,bigscience/bloomz-560m,Squad_2_
122,1,bigscience/bloomz-560m,Squad_2_
124,1,bigscience/bloomz-560m,Squad_2_
125,1,bigscience/bloomz-560m,Squad_2_
131,1,bigscience/bloomz-560m,Squad_2_
129,1,bigscience/bloomz-560m,Squad_2_
132,3,bigscience/bloomz-560m,Squad_2_
136,1,bigscience/bloomz-560m,Squad_2_
132,2,bigscience/bloomz-560m,Squad_2_
133,3,bigscience/bloomz-560m,Squad_2_
112,1,bigscience/bloomz-560m,Squad_2_
112,2,bigscience/bloomz-560m,Squad_2_
113,1,bigscience/bloomz-560m,Squad_2_
116,1,bigscience/bloomz-560m,Squad_2_
114,1,bigscience/bloomz-560m,Squad_2_
115,3,bigscience/bloomz-560m,Squad_2_
115,1,bigscience/bloomz-560m,Squad_2_
118,3,bigscience/bloomz-560m,Squad_2_
115,2,bigscience/bloomz-560m,Squad_2_
118,2,bigscience/bloomz-560m,Squad_2_
115,2,bigscience/bloomz-560m,Squad_2_
115,2,bigscience/bloomz-560m,Squad_2_
222,1,bigscience/bloomz-560m,Squad_2_
220,1,bigscience/bloomz-560m,Squad_2_
221,1,bigscience/bloomz-560m,Squad_2_
221,2,bigscience/bloomz-560m,Squad_2_
222,1,bigscience/bloomz-560m,Squad_2_
219,5,bigscience/bloomz-560m,Squad_2_
106,2,bigscience/bloomz-560m,Squad_2_
106,2,bigscience/bloomz-560m,Squad_2_
108,1,bigscience/bloomz-560m,Squad_2_
106,1,bigscience/bloomz-560m,Squad_2_
106,1,bigscience/bloomz-560m,Squad_2_
109,1,bigscience/bloomz-560m,Squad_2_
109,1,bigscience/bloomz-560m,Squad_2_
188,3,bigscience/bloomz-560m,Squad_2_
194,1,bigscience/bloomz-560m,Squad_2_
191,3,bigscience/bloomz-560m,Squad_2_
191,4,bigscience/bloomz-560m,Squad_2_
69,1,bigscience/bloomz-560m,Squad_2_
74,3,bigscience/bloomz-560m,Squad_2_
68,3,bigscience/bloomz-560m,Squad_2_
75,1,bigscience/bloomz-560m,Squad_2_
70,1,bigscience/bloomz-560m,Squad_2_
87,1,bigscience/bloomz-560m,Squad_2_
86,1,bigscience/bloomz-560m,Squad_2_
84,2,bigscience/bloomz-560m,Squad_2_
101,1,bigscience/bloomz-560m,Squad_2_
99,3,bigscience/bloomz-560m,Squad_2_
98,1,bigscience/bloomz-560m,Squad_2_
97,1,bigscience/bloomz-560m,Squad_2_
96,3,bigscience/bloomz-560m,Squad_2_
93,1,bigscience/bloomz-560m,Squad_2_
102,1,bigscience/bloomz-560m,Squad_2_
101,1,bigscience/bloomz-560m,Squad_2_
103,6,bigscience/bloomz-560m,Squad_2_
101,1,bigscience/bloomz-560m,Squad_2_
101,1,bigscience/bloomz-560m,Squad_2_
69,2,bigscience/bloomz-560m,Squad_2_
70,7,bigscience/bloomz-560m,Squad_2_
69,6,bigscience/bloomz-560m,Squad_2_
125,1,bigscience/bloomz-560m,Squad_2_
122,1,bigscience/bloomz-560m,Squad_2_
126,3,bigscience/bloomz-560m,Squad_2_
123,3,bigscience/bloomz-560m,Squad_2_
125,3,bigscience/bloomz-560m,Squad_2_
126,3,bigscience/bloomz-560m,Squad_2_
125,2,bigscience/bloomz-560m,Squad_2_
185,3,bigscience/bloomz-560m,Squad_2_
188,1,bigscience/bloomz-560m,Squad_2_
189,3,bigscience/bloomz-560m,Squad_2_
188,3,bigscience/bloomz-560m,Squad_2_
187,3,bigscience/bloomz-560m,Squad_2_
186,3,bigscience/bloomz-560m,Squad_2_
72,1,bigscience/bloomz-560m,Squad_2_
71,6,bigscience/bloomz-560m,Squad_2_
70,2,bigscience/bloomz-560m,Squad_2_
58,4,bigscience/bloomz-560m,Squad_2_
54,8,bigscience/bloomz-560m,Squad_2_
54,8,bigscience/bloomz-560m,Squad_2_
60,5,bigscience/bloomz-560m,Squad_2_
61,8,bigscience/bloomz-560m,Squad_2_
101,2,bigscience/bloomz-560m,Squad_2_
104,1,bigscience/bloomz-560m,Squad_2_
104,5,bigscience/bloomz-560m,Squad_2_
101,1,bigscience/bloomz-560m,Squad_2_
103,1,bigscience/bloomz-560m,Squad_2_
78,1,bigscience/bloomz-560m,Squad_2_
80,1,bigscience/bloomz-560m,Squad_2_
80,1,bigscience/bloomz-560m,Squad_2_
67,2,bigscience/bloomz-560m,Squad_2_
67,2,bigscience/bloomz-560m,Squad_2_
67,1,bigscience/bloomz-560m,Squad_2_
66,2,bigscience/bloomz-560m,Squad_2_
66,2,bigscience/bloomz-560m,Squad_2_
69,1,bigscience/bloomz-560m,Squad_2_
171,3,bigscience/bloomz-560m,Squad_2_
172,1,bigscience/bloomz-560m,Squad_2_
177,1,bigscience/bloomz-560m,Squad_2_
175,1,bigscience/bloomz-560m,Squad_2_
171,1,bigscience/bloomz-560m,Squad_2_
175,1,bigscience/bloomz-560m,Squad_2_
91,2,bigscience/bloomz-560m,Squad_2_
92,2,bigscience/bloomz-560m,Squad_2_
91,2,bigscience/bloomz-560m,Squad_2_
82,1,bigscience/bloomz-560m,Squad_2_
77,2,bigscience/bloomz-560m,Squad_2_
73,1,bigscience/bloomz-560m,Squad_2_
77,2,bigscience/bloomz-560m,Squad_2_
78,1,bigscience/bloomz-560m,Squad_2_
174,1,bigscience/bloomz-560m,Squad_2_
169,3,bigscience/bloomz-560m,Squad_2_
173,1,bigscience/bloomz-560m,Squad_2_
171,2,bigscience/bloomz-560m,Squad_2_
124,2,bigscience/bloomz-560m,Squad_2_
121,7,bigscience/bloomz-560m,Squad_2_
120,5,bigscience/bloomz-560m,Squad_2_
120,4,bigscience/bloomz-560m,Squad_2_
69,2,bigscience/bloomz-560m,Squad_2_
72,1,bigscience/bloomz-560m,Squad_2_
70,2,bigscience/bloomz-560m,Squad_2_
71,1,bigscience/bloomz-560m,Squad_2_
68,1,bigscience/bloomz-560m,Squad_2_
103,3,bigscience/bloomz-560m,Squad_2_
98,1,bigscience/bloomz-560m,Squad_2_
102,2,bigscience/bloomz-560m,Squad_2_
90,8,bigscience/bloomz-560m,Squad_2_
103,3,bigscience/bloomz-560m,Squad_2_
104,2,bigscience/bloomz-560m,Squad_2_
95,2,bigscience/bloomz-560m,Squad_2_
93,2,bigscience/bloomz-560m,Squad_2_
129,3,bigscience/bloomz-560m,Squad_2_
134,4,bigscience/bloomz-560m,Squad_2_
125,3,bigscience/bloomz-560m,Squad_2_
123,1,bigscience/bloomz-560m,Squad_2_
128,8,bigscience/bloomz-560m,Squad_2_
128,3,bigscience/bloomz-560m,Squad_2_
135,3,bigscience/bloomz-560m,Squad_2_
125,3,bigscience/bloomz-560m,Squad_2_
123,1,bigscience/bloomz-560m,Squad_2_
122,1,bigscience/bloomz-560m,Squad_2_
137,6,bigscience/bloomz-560m,Squad_2_
145,6,bigscience/bloomz-560m,Squad_2_
149,3,bigscience/bloomz-560m,Squad_2_
149,7,bigscience/bloomz-560m,Squad_2_
139,6,bigscience/bloomz-560m,Squad_2_
139,6,bigscience/bloomz-560m,Squad_2_
144,7,bigscience/bloomz-560m,Squad_2_
149,7,bigscience/bloomz-560m,Squad_2_
139,2,bigscience/bloomz-560m,Squad_2_
157,12,bigscience/bloomz-560m,Squad_2_
164,2,bigscience/bloomz-560m,Squad_2_
154,1,bigscience/bloomz-560m,Squad_2_
158,1,bigscience/bloomz-560m,Squad_2_
162,1,bigscience/bloomz-560m,Squad_2_
161,3,bigscience/bloomz-560m,Squad_2_
157,2,bigscience/bloomz-560m,Squad_2_
154,1,bigscience/bloomz-560m,Squad_2_
153,7,bigscience/bloomz-560m,Squad_2_
155,1,bigscience/bloomz-560m,Squad_2_
125,1,bigscience/bloomz-560m,Squad_2_
123,1,bigscience/bloomz-560m,Squad_2_
115,2,bigscience/bloomz-560m,Squad_2_
124,1,bigscience/bloomz-560m,Squad_2_
114,2,bigscience/bloomz-560m,Squad_2_
122,1,bigscience/bloomz-560m,Squad_2_
114,2,bigscience/bloomz-560m,Squad_2_
99,5,bigscience/bloomz-560m,Squad_2_
100,1,bigscience/bloomz-560m,Squad_2_
96,5,bigscience/bloomz-560m,Squad_2_
101,1,bigscience/bloomz-560m,Squad_2_
96,1,bigscience/bloomz-560m,Squad_2_
98,3,bigscience/bloomz-560m,Squad_2_
100,1,bigscience/bloomz-560m,Squad_2_
97,2,bigscience/bloomz-560m,Squad_2_
97,1,bigscience/bloomz-560m,Squad_2_
91,4,bigscience/bloomz-560m,Squad_2_
147,2,bigscience/bloomz-560m,Squad_2_
143,1,bigscience/bloomz-560m,Squad_2_
142,3,bigscience/bloomz-560m,Squad_2_
147,1,bigscience/bloomz-560m,Squad_2_
143,1,bigscience/bloomz-560m,Squad_2_
148,2,bigscience/bloomz-560m,Squad_2_
147,1,bigscience/bloomz-560m,Squad_2_
148,2,bigscience/bloomz-560m,Squad_2_
142,3,bigscience/bloomz-560m,Squad_2_
143,1,bigscience/bloomz-560m,Squad_2_
90,1,bigscience/bloomz-560m,Squad_2_
91,1,bigscience/bloomz-560m,Squad_2_
93,1,bigscience/bloomz-560m,Squad_2_
90,1,bigscience/bloomz-560m,Squad_2_
91,1,bigscience/bloomz-560m,Squad_2_
94,1,bigscience/bloomz-560m,Squad_2_
85,2,bigscience/bloomz-560m,Squad_2_
71,2,bigscience/bloomz-560m,Squad_2_
75,1,bigscience/bloomz-560m,Squad_2_
75,2,bigscience/bloomz-560m,Squad_2_
78,4,bigscience/bloomz-560m,Squad_2_
78,1,bigscience/bloomz-560m,Squad_2_
77,3,bigscience/bloomz-560m,Squad_2_
78,2,bigscience/bloomz-560m,Squad_2_
71,3,bigscience/bloomz-560m,Squad_2_
72,4,bigscience/bloomz-560m,Squad_2_
78,1,bigscience/bloomz-560m,Squad_2_
102,3,bigscience/bloomz-560m,Squad_2_
110,1,bigscience/bloomz-560m,Squad_2_
103,2,bigscience/bloomz-560m,Squad_2_
106,1,bigscience/bloomz-560m,Squad_2_
105,1,bigscience/bloomz-560m,Squad_2_
168,1,bigscience/bloomz-560m,Squad_2_
165,6,bigscience/bloomz-560m,Squad_2_
166,8,bigscience/bloomz-560m,Squad_2_
163,1,bigscience/bloomz-560m,Squad_2_
171,6,bigscience/bloomz-560m,Squad_2_
163,1,bigscience/bloomz-560m,Squad_2_
166,6,bigscience/bloomz-560m,Squad_2_
166,8,bigscience/bloomz-560m,Squad_2_
167,2,bigscience/bloomz-560m,Squad_2_
163,8,bigscience/bloomz-560m,Squad_2_
123,1,bigscience/bloomz-560m,Squad_2_
119,3,bigscience/bloomz-560m,Squad_2_
116,1,bigscience/bloomz-560m,Squad_2_
110,1,bigscience/bloomz-560m,Squad_2_
118,3,bigscience/bloomz-560m,Squad_2_
111,1,bigscience/bloomz-560m,Squad_2_
122,1,bigscience/bloomz-560m,Squad_2_
116,1,bigscience/bloomz-560m,Squad_2_
110,1,bigscience/bloomz-560m,Squad_2_
118,3,bigscience/bloomz-560m,Squad_2_
189,2,bigscience/bloomz-560m,Squad_2_
192,2,bigscience/bloomz-560m,Squad_2_
184,2,bigscience/bloomz-560m,Squad_2_
185,1,bigscience/bloomz-560m,Squad_2_
183,2,bigscience/bloomz-560m,Squad_2_
188,8,bigscience/bloomz-560m,Squad_2_
182,3,bigscience/bloomz-560m,Squad_2_
186,3,bigscience/bloomz-560m,Squad_2_
186,4,bigscience/bloomz-560m,Squad_2_
185,5,bigscience/bloomz-560m,Squad_2_
188,3,bigscience/bloomz-560m,Squad_2_
190,1,bigscience/bloomz-560m,Squad_2_
183,2,bigscience/bloomz-560m,Squad_2_
184,3,bigscience/bloomz-560m,Squad_2_
185,3,bigscience/bloomz-560m,Squad_2_
182,3,bigscience/bloomz-560m,Squad_2_
187,3,bigscience/bloomz-560m,Squad_2_
182,9,bigscience/bloomz-560m,Squad_2_
78,2,bigscience/bloomz-560m,Squad_2_
86,3,bigscience/bloomz-560m,Squad_2_
84,3,bigscience/bloomz-560m,Squad_2_
79,1,bigscience/bloomz-560m,Squad_2_
86,3,bigscience/bloomz-560m,Squad_2_
77,3,bigscience/bloomz-560m,Squad_2_
86,2,bigscience/bloomz-560m,Squad_2_
90,3,bigscience/bloomz-560m,Squad_2_
90,4,bigscience/bloomz-560m,Squad_2_
86,3,bigscience/bloomz-560m,Squad_2_
88,2,bigscience/bloomz-560m,Squad_2_
91,3,bigscience/bloomz-560m,Squad_2_
82,4,bigscience/bloomz-560m,Squad_2_
88,3,bigscience/bloomz-560m,Squad_2_
82,4,bigscience/bloomz-560m,Squad_2_
108,1,bigscience/bloomz-560m,Squad_2_
103,2,bigscience/bloomz-560m,Squad_2_
106,1,bigscience/bloomz-560m,Squad_2_
109,1,bigscience/bloomz-560m,Squad_2_
103,2,bigscience/bloomz-560m,Squad_2_
114,3,bigscience/bloomz-560m,Squad_2_
106,1,bigscience/bloomz-560m,Squad_2_
108,3,bigscience/bloomz-560m,Squad_2_
109,1,bigscience/bloomz-560m,Squad_2_
184,1,bigscience/bloomz-560m,Squad_2_
177,1,bigscience/bloomz-560m,Squad_2_
191,1,bigscience/bloomz-560m,Squad_2_
192,1,bigscience/bloomz-560m,Squad_2_
192,2,bigscience/bloomz-560m,Squad_2_
177,3,bigscience/bloomz-560m,Squad_2_
191,1,bigscience/bloomz-560m,Squad_2_
191,1,bigscience/bloomz-560m,Squad_2_
178,3,bigscience/bloomz-560m,Squad_2_
77,1,bigscience/bloomz-560m,Squad_2_
79,1,bigscience/bloomz-560m,Squad_2_
75,2,bigscience/bloomz-560m,Squad_2_
76,1,bigscience/bloomz-560m,Squad_2_
76,1,bigscience/bloomz-560m,Squad_2_
74,3,bigscience/bloomz-560m,Squad_2_
74,3,bigscience/bloomz-560m,Squad_2_
73,5,bigscience/bloomz-560m,Squad_2_
76,2,bigscience/bloomz-560m,Squad_2_
77,1,bigscience/bloomz-560m,Squad_2_
69,4,bigscience/bloomz-560m,Squad_2_
69,2,bigscience/bloomz-560m,Squad_2_
68,2,bigscience/bloomz-560m,Squad_2_
73,4,bigscience/bloomz-560m,Squad_2_
70,4,bigscience/bloomz-560m,Squad_2_
68,1,bigscience/bloomz-560m,Squad_2_
69,1,bigscience/bloomz-560m,Squad_2_
73,1,bigscience/bloomz-560m,Squad_2_
116,1,bigscience/bloomz-560m,Squad_2_
112,1,bigscience/bloomz-560m,Squad_2_
115,1,bigscience/bloomz-560m,Squad_2_
117,1,bigscience/bloomz-560m,Squad_2_
107,6,bigscience/bloomz-560m,Squad_2_
112,1,bigscience/bloomz-560m,Squad_2_
115,1,bigscience/bloomz-560m,Squad_2_
