Input,Output,model,dataset
16,1,bigscience/bloomz-560m,sst
40,1,bigscience/bloomz-560m,sst
30,1,bigscience/bloomz-560m,sst
21,1,bigscience/bloomz-560m,sst
28,1,bigscience/bloomz-560m,sst
21,1,bigscience/bloomz-560m,sst
32,1,bigscience/bloomz-560m,sst
35,1,bigscience/bloomz-560m,sst
27,1,bigscience/bloomz-560m,sst
18,1,bigscience/bloomz-560m,sst
22,1,bigscience/bloomz-560m,sst
31,1,bigscience/bloomz-560m,sst
31,1,bigscience/bloomz-560m,sst
26,1,bigscience/bloomz-560m,sst
25,1,bigscience/bloomz-560m,sst
31,1,bigscience/bloomz-560m,sst
31,1,bigscience/bloomz-560m,sst
19,1,bigscience/bloomz-560m,sst
30,1,bigscience/bloomz-560m,sst
15,1,bigscience/bloomz-560m,sst
33,1,bigscience/bloomz-560m,sst
20,1,bigscience/bloomz-560m,sst
32,1,bigscience/bloomz-560m,sst
12,1,bigscience/bloomz-560m,sst
36,1,bigscience/bloomz-560m,sst
29,1,bigscience/bloomz-560m,sst
27,1,bigscience/bloomz-560m,sst
49,1,bigscience/bloomz-560m,sst
33,1,bigscience/bloomz-560m,sst
27,1,bigscience/bloomz-560m,sst
17,1,bigscience/bloomz-560m,sst
32,1,bigscience/bloomz-560m,sst
16,0,bigscience/bloomz-560m,sst
20,1,bigscience/bloomz-560m,sst
33,1,bigscience/bloomz-560m,sst
49,1,bigscience/bloomz-560m,sst
42,1,bigscience/bloomz-560m,sst
16,1,bigscience/bloomz-560m,sst
36,1,bigscience/bloomz-560m,sst
19,1,bigscience/bloomz-560m,sst
25,1,bigscience/bloomz-560m,sst
22,1,bigscience/bloomz-560m,sst
39,1,bigscience/bloomz-560m,sst
17,1,bigscience/bloomz-560m,sst
32,1,bigscience/bloomz-560m,sst
34,1,bigscience/bloomz-560m,sst
26,1,bigscience/bloomz-560m,sst
16,1,bigscience/bloomz-560m,sst
24,1,bigscience/bloomz-560m,sst
57,1,bigscience/bloomz-560m,sst
16,1,bigscience/bloomz-560m,sst
42,1,bigscience/bloomz-560m,sst
33,1,bigscience/bloomz-560m,sst
56,1,bigscience/bloomz-560m,sst
17,1,bigscience/bloomz-560m,sst
26,1,bigscience/bloomz-560m,sst
21,1,bigscience/bloomz-560m,sst
26,1,bigscience/bloomz-560m,sst
33,1,bigscience/bloomz-560m,sst
22,1,bigscience/bloomz-560m,sst
39,1,bigscience/bloomz-560m,sst
37,1,bigscience/bloomz-560m,sst
46,1,bigscience/bloomz-560m,sst
16,1,bigscience/bloomz-560m,sst
17,1,bigscience/bloomz-560m,sst
16,1,bigscience/bloomz-560m,sst
35,1,bigscience/bloomz-560m,sst
17,1,bigscience/bloomz-560m,sst
23,1,bigscience/bloomz-560m,sst
31,1,bigscience/bloomz-560m,sst
32,1,bigscience/bloomz-560m,sst
34,1,bigscience/bloomz-560m,sst
26,1,bigscience/bloomz-560m,sst
27,1,bigscience/bloomz-560m,sst
26,1,bigscience/bloomz-560m,sst
36,1,bigscience/bloomz-560m,sst
23,1,bigscience/bloomz-560m,sst
31,1,bigscience/bloomz-560m,sst
36,1,bigscience/bloomz-560m,sst
15,1,bigscience/bloomz-560m,sst
26,1,bigscience/bloomz-560m,sst
21,1,bigscience/bloomz-560m,sst
43,1,bigscience/bloomz-560m,sst
19,1,bigscience/bloomz-560m,sst
34,1,bigscience/bloomz-560m,sst
26,1,bigscience/bloomz-560m,sst
29,1,bigscience/bloomz-560m,sst
25,1,bigscience/bloomz-560m,sst
22,1,bigscience/bloomz-560m,sst
37,1,bigscience/bloomz-560m,sst
19,1,bigscience/bloomz-560m,sst
34,1,bigscience/bloomz-560m,sst
24,1,bigscience/bloomz-560m,sst
33,1,bigscience/bloomz-560m,sst
24,1,bigscience/bloomz-560m,sst
26,1,bigscience/bloomz-560m,sst
25,1,bigscience/bloomz-560m,sst
25,1,bigscience/bloomz-560m,sst
38,1,bigscience/bloomz-560m,sst
34,1,bigscience/bloomz-560m,sst
17,1,bigscience/bloomz-560m,sst
32,1,bigscience/bloomz-560m,sst
31,1,bigscience/bloomz-560m,sst
21,1,bigscience/bloomz-560m,sst
36,1,bigscience/bloomz-560m,sst
17,1,bigscience/bloomz-560m,sst
19,0,bigscience/bloomz-560m,sst
31,1,bigscience/bloomz-560m,sst
25,1,bigscience/bloomz-560m,sst
23,1,bigscience/bloomz-560m,sst
25,1,bigscience/bloomz-560m,sst
17,1,bigscience/bloomz-560m,sst
22,1,bigscience/bloomz-560m,sst
24,1,bigscience/bloomz-560m,sst
19,1,bigscience/bloomz-560m,sst
26,1,bigscience/bloomz-560m,sst
32,1,bigscience/bloomz-560m,sst
28,1,bigscience/bloomz-560m,sst
22,1,bigscience/bloomz-560m,sst
29,1,bigscience/bloomz-560m,sst
27,1,bigscience/bloomz-560m,sst
29,1,bigscience/bloomz-560m,sst
42,1,bigscience/bloomz-560m,sst
29,1,bigscience/bloomz-560m,sst
23,1,bigscience/bloomz-560m,sst
30,1,bigscience/bloomz-560m,sst
29,1,bigscience/bloomz-560m,sst
15,1,bigscience/bloomz-560m,sst
27,1,bigscience/bloomz-560m,sst
28,1,bigscience/bloomz-560m,sst
31,1,bigscience/bloomz-560m,sst
27,1,bigscience/bloomz-560m,sst
44,1,bigscience/bloomz-560m,sst
17,1,bigscience/bloomz-560m,sst
31,1,bigscience/bloomz-560m,sst
21,1,bigscience/bloomz-560m,sst
15,1,bigscience/bloomz-560m,sst
17,1,bigscience/bloomz-560m,sst
13,1,bigscience/bloomz-560m,sst
24,1,bigscience/bloomz-560m,sst
37,1,bigscience/bloomz-560m,sst
22,1,bigscience/bloomz-560m,sst
32,1,bigscience/bloomz-560m,sst
37,1,bigscience/bloomz-560m,sst
16,1,bigscience/bloomz-560m,sst
18,1,bigscience/bloomz-560m,sst
17,1,bigscience/bloomz-560m,sst
16,1,bigscience/bloomz-560m,sst
47,1,bigscience/bloomz-560m,sst
34,1,bigscience/bloomz-560m,sst
19,1,bigscience/bloomz-560m,sst
36,1,bigscience/bloomz-560m,sst
19,1,bigscience/bloomz-560m,sst
19,1,bigscience/bloomz-560m,sst
28,1,bigscience/bloomz-560m,sst
40,1,bigscience/bloomz-560m,sst
23,1,bigscience/bloomz-560m,sst
16,1,bigscience/bloomz-560m,sst
32,1,bigscience/bloomz-560m,sst
17,1,bigscience/bloomz-560m,sst
36,1,bigscience/bloomz-560m,sst
46,1,bigscience/bloomz-560m,sst
21,1,bigscience/bloomz-560m,sst
17,0,bigscience/bloomz-560m,sst
16,0,bigscience/bloomz-560m,sst
21,1,bigscience/bloomz-560m,sst
34,1,bigscience/bloomz-560m,sst
21,1,bigscience/bloomz-560m,sst
17,1,bigscience/bloomz-560m,sst
12,0,bigscience/bloomz-560m,sst
35,1,bigscience/bloomz-560m,sst
26,1,bigscience/bloomz-560m,sst
34,1,bigscience/bloomz-560m,sst
22,1,bigscience/bloomz-560m,sst
36,1,bigscience/bloomz-560m,sst
36,1,bigscience/bloomz-560m,sst
32,1,bigscience/bloomz-560m,sst
35,1,bigscience/bloomz-560m,sst
26,1,bigscience/bloomz-560m,sst
45,1,bigscience/bloomz-560m,sst
24,1,bigscience/bloomz-560m,sst
21,1,bigscience/bloomz-560m,sst
32,1,bigscience/bloomz-560m,sst
36,1,bigscience/bloomz-560m,sst
15,1,bigscience/bloomz-560m,sst
32,1,bigscience/bloomz-560m,sst
38,1,bigscience/bloomz-560m,sst
36,1,bigscience/bloomz-560m,sst
17,1,bigscience/bloomz-560m,sst
23,1,bigscience/bloomz-560m,sst
24,1,bigscience/bloomz-560m,sst
19,1,bigscience/bloomz-560m,sst
41,1,bigscience/bloomz-560m,sst
19,1,bigscience/bloomz-560m,sst
23,1,bigscience/bloomz-560m,sst
21,1,bigscience/bloomz-560m,sst
18,1,bigscience/bloomz-560m,sst
40,1,bigscience/bloomz-560m,sst
21,1,bigscience/bloomz-560m,sst
26,1,bigscience/bloomz-560m,sst
31,1,bigscience/bloomz-560m,sst
33,1,bigscience/bloomz-560m,sst
17,1,bigscience/bloomz-560m,sst
24,1,bigscience/bloomz-560m,sst
25,1,bigscience/bloomz-560m,sst
23,1,bigscience/bloomz-560m,sst
24,1,bigscience/bloomz-560m,sst
19,1,bigscience/bloomz-560m,sst
21,1,bigscience/bloomz-560m,sst
31,1,bigscience/bloomz-560m,sst
19,1,bigscience/bloomz-560m,sst
27,1,bigscience/bloomz-560m,sst
14,1,bigscience/bloomz-560m,sst
24,1,bigscience/bloomz-560m,sst
37,1,bigscience/bloomz-560m,sst
30,1,bigscience/bloomz-560m,sst
20,1,bigscience/bloomz-560m,sst
20,1,bigscience/bloomz-560m,sst
42,1,bigscience/bloomz-560m,sst
39,1,bigscience/bloomz-560m,sst
41,1,bigscience/bloomz-560m,sst
26,1,bigscience/bloomz-560m,sst
29,1,bigscience/bloomz-560m,sst
23,1,bigscience/bloomz-560m,sst
19,1,bigscience/bloomz-560m,sst
23,1,bigscience/bloomz-560m,sst
43,1,bigscience/bloomz-560m,sst
25,1,bigscience/bloomz-560m,sst
38,1,bigscience/bloomz-560m,sst
33,0,bigscience/bloomz-560m,sst
42,1,bigscience/bloomz-560m,sst
31,1,bigscience/bloomz-560m,sst
33,1,bigscience/bloomz-560m,sst
37,1,bigscience/bloomz-560m,sst
15,1,bigscience/bloomz-560m,sst
33,1,bigscience/bloomz-560m,sst
18,1,bigscience/bloomz-560m,sst
36,1,bigscience/bloomz-560m,sst
35,1,bigscience/bloomz-560m,sst
36,1,bigscience/bloomz-560m,sst
48,1,bigscience/bloomz-560m,sst
19,1,bigscience/bloomz-560m,sst
24,1,bigscience/bloomz-560m,sst
35,1,bigscience/bloomz-560m,sst
57,1,bigscience/bloomz-560m,sst
41,1,bigscience/bloomz-560m,sst
15,1,bigscience/bloomz-560m,sst
