model_name,num_parameters
ainize/kobart-news,123859968
albert-base-v2,11683584
alvaroalon2/biobert_diseases_ner,108310272
Babelscape/wikineural-multilingual-ner,177853440
bert-base-cased,108310272
bert-base-uncased,109482240
bert-large-uncased-whole-word-masking-finetuned-squad,335141888
bigscience/bloomz-560m,559214592
bigscience/bloom-560m,559214592
cardiffnlp/twitter-roberta-base-irony,124645632
cardiffnlp/twitter-roberta-base-sentiment-latest,124645632
deepset/bert-large-uncased-whole-word-masking-squad2,335141888
deepset/electra-base-squad2,108891648
deepset/roberta-base-squad2,124645632
deepset/tinyroberta-squad2,82118400
distilbert-base-cased-distilled-squad,65190912
distilbert-base-multilingual-cased,134734080
distilbert-base-uncased,66362880
distilbert-base-uncased-distilled-squad,66362880
distilgpt2,81912576
dslim/bert-base-NER,108310272
dslim/bert-large-NER,333579264
EleutherAI/gpt-neo-125m,125198592
facebook/bart-large-cnn,406290432
facebook/convnextv2-tiny-1k-224,27866496
facebook/convnextv2-tiny-22k-384,27866496
facebook/detr-resnet-101,60308416
facebook/detr-resnet-50,41368512
facebook/opt-1.3b,1315758080
facebook/opt-6.7b,6658473984
google/mobilenet_v1_0.75_192,1816560
google/pegasus-xsum,569748480
google/vit-base-patch16-224,86389248
google/vit-base-patch16-384,86681088
gpt2,124439808
gpt2-medium,354823168
gpt2-xl,1557611200
hustvl/yolos-small,30204288
hustvl/yolos-tiny,6359040
j-hartmann/emotion-english-distilroberta-base,82118400
Jean-Baptiste/roberta-large-ner-english,355359744
joeddav/xlm-roberta-large-xnli,559890432
jozhang97/deta-swin-large,217683380
martin-ha/toxic-comment-model,66362880
microsoft/beit-base-patch16-224-pt22k-ft22k,85761984
microsoft/deberta-base,138601728
microsoft/git-base,153147648
microsoft/git-large-coco,370724608
microsoft/resnet-18,11176512
microsoft/resnet-50,23508032
MoritzLaurer/DeBERTa-v3-base-mnli-fever-anli,183831552
nlpconnect/vit-gpt2-image-captioning,239195904
nlptown/bert-base-multilingual-uncased-sentiment,167356416
obi/deid_roberta_i2b2,355359744
oliverguhr/fullstop-punctuation-multilang-large,559890432
philschmid/bart-large-cnn-samsum,406290432
polejowska/detr-r50-cd45rb-1ah-6l,41368512
polejowska/detr-r50-cd45rb-8ah-6l-gelu-corrected,41368512
QCRI/bert-base-multilingual-cased-pos-english,177853440
Rakib/roberta-base-on-cuad,124645632
roberta-base,124645632
Salesforce/blip-image-captioning-base,224726017
Salesforce/blip-image-captioning-large,447175937
Salesforce/blip2-flan-t5-xl,3942446592
Salesforce/blip2-opt-2.7b,3744679936
SamLowe/roberta-base-go_emotions,124645632
SenseTime/deformable-detr,39913666
sshleifer/distilbart-cnn-12-6,305510400
t5-base,222903552
t5-large,737668096
t5-small,60506624
xlm-roberta-base,278043648
bhadresh-savani/distilbert-base-uncased-emotion,66362880
bert-base-multilingual-cased,177853440
ydshieh/vit-gpt2-coco-en,124439808
ml6team/keyphrase-extraction-distilbert-inspec,66365187
runwayml/stable-diffusion-v1-5,1370216895
stabilityai/stable-diffusion-2-1,1289952427
stabilityai/stable-diffusion-xl-base-1.0,3468837867
SG161222/Realistic_Vision_V1.4,1370216895
CompVis/stable-diffusion-v1-4,1370216895
stabilityai/stable-diffusion-2-1-base,1289952427
prompthero/openjourney,1370216895
dreamlike-art/dreamlike-photoreal-2.0,1066235307
warp-ai/wuerstchen,1426756238
gpt2,124439808
facebook/opt-1.3b,1315758080
meta-llama/Llama-2-7b-hf,6607343616
google/flan-t5-xxl,11003736064
google/flan-t5-xl,2783959040
google/flan-t5-large,750251008
google/flan-t5-base,222903552
sshleifer/distilbart-xsum-12-6,229933056
sshleifer/distilbart-cnn-12-6,305510400
pszemraj/led-large-book-summary,459801600
google/pegasus-xsum,569748480
google/pegasus-large,570797056
google/bigbird-pegasus-large-arxiv,576891904
facebook/bart-large-cnn,406290432
ainize/bart-base-cnn,139420416
lvwerra/distilbert-imdb,66362880
sbcBI/sentiment_analysis_model,66362880
distilbert-base-uncased-finetuned-sst-2-english,66362880
cardiffnlp/twitter-xlm-roberta-base-sentiment,278043648
finiteautomata/bertweet-base-sentiment-analysis,134899968
siebert/sentiment-roberta-large-english,355359744
timpal0l/mdeberta-v3-base-squad2,278218752
google/pegasus-multi_news,570797056
elastic/distilbert-base-cased-finetuned-conll03-english,65190912
dmargutierrez/distilbert-base-multilingual-cased-mapa_coarse-ner,134734080
xlm-roberta-large-finetuned-conll03-english,559890432
nota-ai/bk-sdm-tiny,834080895
segmind/tiny-sd,530099307
bigscience/bloomz-1b7,1720000000
bigscience/bloomz-7b1,7000000000
bigscience/bloomz-3b,3000000000
